country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Africa,2000,,830582806,,30.897,0.037,930.851,30.972,3.442,2233.234,50.483,2.313,2.693,1.029,0.684,1.122,0.429,0.285,370.01,0.446,733.342,0.884,0.338,688.209,24131.189,105126.68,11749.875,2105.333,1641.16,122360.305,7946.612,,3902.616,,103.38,0.125,114.348,0.138,2.156,4.458,1302.394,1.57,1253.283,1.509,332.879,0.401,312.215,0.376,,,3196.057,4.268,3.649,7.249,4.021,3.728,2.304,5.997,2.235,18.653,1.347,17.228,2.173,,29.786,2.407,24.586,3.04,,8.523,0.041,0.051,0.098,0.007,3702.621,1790.801,-197.509,-21.218
Africa,2001,,851690329,,32.412,0.038,920.602,-10.249,-1.101,2151.343,-81.891,-3.667,2.53,0.929,0.636,1.082,0.398,0.272,371.74,0.437,749.353,0.881,0.324,720.62,25051.789,107278.023,12121.614,2203.533,1761.286,123591.055,8244.736,,3943.533,,98.2,0.115,120.126,0.141,2.081,4.244,1230.752,1.447,1239.626,1.455,325.107,0.382,298.125,0.351,,,3310.455,4.28,3.581,7.06,4.016,3.75,2.335,6.015,2.265,18.959,1.391,17.285,2.192,,29.254,2.505,25.828,2.881,,8.577,0.042,0.052,0.101,0.007,3614.512,1772.403,-171.249,-18.602
Africa,2002,,873411364,,34.928,0.04,899.996,-20.606,-2.238,2369.119,217.776,10.123,2.716,0.957,0.69,1.032,0.364,0.262,360.666,0.414,740.585,0.849,0.299,755.549,25951.785,109647.141,12482.28,2286.031,1895.64,125060.195,8532.285,,3896.362,,82.498,0.095,134.355,0.154,1.945,4.218,1469.134,1.684,1210.495,1.386,338.112,0.387,287.549,0.33,,,3353.255,4.448,3.425,7.544,3.725,3.777,2.361,6.042,2.291,19.134,1.44,17.366,2.208,,25.413,2.721,28.649,2.783,,8.622,0.043,0.053,0.103,0.007,3683.872,1698.465,-159.411,-17.712
Africa,2003,,895734453,,35.273,0.039,989.645,89.649,9.961,2522.337,153.219,6.467,2.82,0.953,0.7,1.106,0.374,0.275,390.582,0.437,819.854,0.917,0.31,790.822,26941.43,112169.477,12872.862,2377.888,2041.422,126592.898,8858.436,,3984.036,,91.857,0.103,145.782,0.163,2.059,4.355,1532.704,1.714,1279.045,1.428,351.423,0.392,326.15,0.365,,,3515.312,4.085,3.577,7.475,3.713,3.79,2.391,6.068,2.318,19.345,1.493,17.432,2.231,,26.662,2.848,25.227,3.076,,8.673,0.044,0.054,0.105,0.007,3900.794,1844.123,-169.791,-17.157
Africa,2004,,918778450,,38.021,0.041,1045.726,56.081,5.667,2486.618,-35.72,-1.416,2.71,0.873,0.651,1.14,0.367,0.274,417.392,0.455,864.254,0.942,0.303,828.843,27987.156,114656.102,13290.255,2465.912,2194.11,128033.797,9208.035,,4171.859,,88.024,0.096,152.688,0.166,2.079,4.298,1440.903,1.57,1293.109,1.407,355.164,0.387,349.6,0.381,,,3774.621,4.212,3.652,7.306,3.839,3.807,2.422,6.09,2.347,19.517,1.545,17.5,2.257,,25.696,2.889,26.664,3.179,,8.721,0.045,0.055,0.107,0.007,3948.601,1909.689,-181.472,-17.354
Africa,2005,,942546623,,41.903,0.045,1059.372,13.647,1.305,2463.87,-22.748,-0.915,2.618,0.802,0.634,1.126,0.345,0.273,412.225,0.438,880.529,0.936,0.287,870.746,29046.527,117119.969,13702.479,2551.781,2377.623,129438.312,9543.898,,4079.625,,85.869,0.091,183.513,0.195,2.057,4.227,1404.509,1.492,1327.578,1.409,373.534,0.396,335.862,0.357,,,3785.477,4.328,3.577,7.141,3.57,3.83,2.451,6.109,2.372,19.656,1.613,17.574,2.277,,24.683,3.397,28.716,3.024,,8.769,0.046,0.056,0.11,0.008,3984.174,1938.4,-178.844,-16.882
Africa,2006,,966932346,,45.735,0.047,1091.176,31.803,3.002,2468.392,4.522,0.184,2.556,0.744,0.625,1.13,0.329,0.276,418.61,0.434,936.393,0.97,0.282,916.481,30137.705,119588.359,14121.09,2631.982,2553.87,130815.531,9914.281,,4054.019,,80.201,0.083,176.247,0.183,2.022,4.157,1377.227,1.426,1311.602,1.356,365.727,0.378,370.383,0.384,,,3858.375,4.332,3.563,6.864,3.433,3.852,2.479,6.123,2.394,19.745,1.67,17.634,2.304,,23.079,3.172,25.829,3.301,,8.807,0.047,0.057,0.112,0.008,4019.547,1955.465,-154.782,-14.185
Africa,2007,,992055831,,49.202,0.05,1116.9,25.724,2.357,2523.45,55.057,2.231,2.547,0.7,0.622,1.127,0.31,0.275,429.852,0.434,969.982,0.979,0.269,965.683,31254.604,122111.812,14550.941,2702.923,2744.032,132222.094,10291.026,,4102.967,,70.941,0.072,190.162,0.192,1.983,4.12,1406.56,1.42,1320.087,1.331,381.214,0.384,376.744,0.38,,,4006.39,4.339,3.542,6.985,3.362,3.874,2.506,6.139,2.414,19.768,1.729,17.714,2.33,,20.667,3.301,30.613,3.348,,8.844,0.048,0.058,0.114,0.008,4086.928,1966.984,-146.919,-13.154
Africa,2008,,1018065513,,51.817,0.051,1174.755,57.855,5.18,2998.069,474.62,18.808,2.949,0.769,0.689,1.156,0.301,0.27,455.481,0.448,1023.797,1.007,0.263,1017.5,32429.359,125109.875,15006.423,2773.951,2936.816,134045.422,10694.67,,4237.09,,71.028,0.07,192.784,0.19,2.005,4.336,1823.325,1.793,1350.788,1.327,390.552,0.384,403.645,0.397,,,4245.486,4.51,3.663,8.113,3.45,3.902,2.535,6.175,2.437,19.803,1.784,17.841,2.362,,21.22,3.253,37.361,3.603,,8.891,0.05,0.059,0.117,0.008,4414.531,2041.451,-150.958,-12.85
Africa,2009,,1044777740,,58.049,0.056,1168.25,-6.505,-0.554,3184.491,186.422,6.218,3.052,0.771,0.735,1.12,0.283,0.27,425.296,0.408,1064.897,1.021,0.258,1075.548,33597.609,128294.367,15431.719,2840.425,3128.533,136061.672,11121.386,,4199.224,,66.474,0.064,191.717,0.184,1.934,4.31,2016.252,1.932,1331.524,1.274,386.525,0.37,426.715,0.409,,,4317.645,4.911,3.704,8.65,3.26,3.946,2.563,6.219,2.454,19.81,1.836,17.983,2.398,,20.119,3.315,38.23,3.895,,8.934,0.051,0.06,0.119,0.008,4502.975,2020.617,-103.353,-8.847
Africa,2010,,1072216718,,59.657,0.056,1216.669,48.419,4.145,3398.941,214.45,6.734,3.174,0.758,0.751,1.136,0.271,0.269,431.407,0.403,1097.266,1.025,0.245,1135.205,34814.281,131693.312,15863.126,2909.793,3330.44,138243.969,11575.715,,4221.057,,69.368,0.065,201.908,0.189,1.958,4.429,2182.283,2.038,1382.302,1.289,405.558,0.378,454.33,0.424,,,4454.202,4.723,3.648,8.75,3.092,3.98,2.59,6.266,2.468,19.822,1.885,18.14,2.437,,20.328,3.242,39.765,4.012,,8.971,0.052,0.062,0.122,0.008,4749.242,2099.846,-119.403,-9.814
Africa,2011,,1100148882,,58.925,0.054,1257.421,40.752,3.349,3496.274,97.333,2.864,3.182,0.756,0.751,1.145,0.272,0.27,424.838,0.387,1159.195,1.055,0.251,1194.13,36071.699,135189.578,16287.964,2976.933,3550.485,140482.828,12062.188,,4149.529,,67.14,0.061,220.045,0.2,1.942,4.422,2238.864,2.038,1391.057,1.264,415.555,0.378,486.474,0.443,,,4492.596,4.336,3.644,8.788,2.883,3.996,2.616,6.313,2.477,19.795,1.939,18.307,2.48,,18.687,3.432,42.417,4.282,,9.002,0.053,0.063,0.124,0.009,4864.815,2136.474,-98.226,-7.812
Africa,2012,,1128843697,,63.744,0.057,1268.948,11.527,0.917,3424.968,-71.307,-2.04,3.038,0.7,0.711,1.126,0.259,0.263,430.713,0.382,1198.988,1.064,0.245,1257.875,37340.648,138614.547,16718.678,3042.019,3791.757,142638.859,12530.321,,4207.916,,65.086,0.058,241.271,0.214,1.941,4.321,2156.03,1.912,1442.939,1.278,417.875,0.37,468.133,0.415,,,4674.143,4.57,3.626,8.425,2.889,4.022,2.641,6.352,2.486,19.733,2,18.452,2.517,,17.261,3.683,38.147,4.073,,9.033,0.054,0.065,0.127,0.009,4877.841,2191.073,-69.96,-5.513
Africa,2013,,1158780551,,65.686,0.057,1282.542,13.594,1.071,3301.052,-123.916,-3.618,2.852,0.651,0.655,1.108,0.253,0.255,431.819,0.373,1250.719,1.081,0.247,1323.56,38623.191,141915.609,17150.496,3104.498,4036.201,144657.359,13008.437,,4216.218,,62.478,0.054,244.444,0.211,1.891,4.193,2018.521,1.744,1434.035,1.238,421.379,0.364,478.114,0.413,,,4807.251,4.516,3.633,8.167,2.879,4.044,2.665,6.385,2.495,19.647,2.057,18.59,2.553,,16.217,3.711,39.454,4.13,,9.06,0.055,0.066,0.129,0.009,4859.291,2191.387,-31.822,-2.481
Africa,2014,,1189220573,,70.034,0.059,1357.349,74.807,5.833,3188.3,-112.752,-3.416,2.685,0.605,0.612,1.143,0.257,0.26,445.595,0.375,1333.149,1.123,0.253,1393.594,39980.539,145103.891,17596.09,3165.435,4283.095,146488.328,13542.324,,4220.688,,60.937,0.051,246.894,0.208,1.914,4.063,1830.962,1.542,1447.458,1.217,421.003,0.354,533.888,0.45,,,4939.468,4.661,3.829,7.806,2.967,4.071,2.693,6.411,2.505,19.554,2.112,18.696,2.599,,15.758,3.723,33.931,4.6,,9.077,0.055,0.067,0.132,0.009,4832.225,2275.929,-24.2,-1.783
Africa,2015,,1220075728,,74.038,0.061,1332.662,-24.687,-1.819,2996.065,-192.234,-6.029,2.459,0.55,0.575,1.094,0.245,0.256,423.878,0.348,1341.596,1.101,0.246,1467.632,41313.203,148099.969,18019.969,3226.758,4545.409,148151.75,14053.433,,4200.331,,61.323,0.05,262.315,0.215,1.852,3.852,1663.414,1.365,1467.377,1.203,429.205,0.352,511.108,0.419,,,5045.052,5.102,3.764,7.319,2.89,4.113,2.718,6.427,2.513,19.471,2.168,18.776,2.637,,15.969,3.877,30.071,4.32,,9.084,0.056,0.068,0.134,0.009,4700.034,2260.085,8.934,0.67
Africa,2016,,1251208654,,77.352,0.062,1375.131,42.47,3.187,3047.598,51.533,1.72,2.439,0.549,0.567,1.1,0.248,0.256,431.073,0.345,1362.498,1.09,0.245,1544.984,42688.332,151147.562,18451.043,3284.661,4824.703,149824.219,14582.941,,4209.26,,57.904,0.046,279.293,0.224,1.836,3.775,1672.482,1.338,1478.882,1.182,443.929,0.355,529.509,0.424,,,5186.279,5.19,3.883,7.653,3.007,4.156,2.745,6.448,2.522,19.383,2.228,18.882,2.676,,15.481,4.017,37.957,4.426,,9.087,0.057,0.07,0.136,0.01,4723.368,2296.88,-12.633,-0.919
Africa,2017,,1282902302,,75.881,0.059,1393.216,18.085,1.315,3269.644,222.045,7.286,2.552,0.57,0.599,1.087,0.243,0.255,424.086,0.331,1331.045,1.039,0.232,1620.865,44081.551,154417.219,18875.127,3344.969,5125.51,151700.672,15115.075,,4242.396,,60.308,0.047,300.807,0.235,1.826,3.764,1876.438,1.465,1508.009,1.175,445.54,0.347,532.134,0.415,,,5359.562,5.027,3.871,8.129,2.922,4.19,2.77,6.476,2.53,19.298,2.291,19.017,2.713,,15.572,4.22,44.35,4.38,,9.095,0.058,0.071,0.138,0.01,4828.341,2342.641,-62.171,-4.462
Africa,2018,,1315409965,,77.317,0.059,1386.654,-6.562,-0.471,2865.312,-404.332,-12.366,2.181,0.483,0.517,1.055,0.234,0.25,422.252,0.321,1329.383,1.012,0.224,1698.182,45468.203,157282.516,19297.381,3404.508,5427.193,153179.344,15640.939,,4239.753,,59.539,0.045,301.683,0.23,1.791,3.529,1478.668,1.126,1533.712,1.166,449.459,0.342,525.864,0.4,,,5491.605,4.974,3.775,7.062,2.863,4.22,2.793,6.486,2.536,19.191,2.348,19.111,2.747,,14.625,4.038,38.46,4.293,,9.096,0.059,0.072,0.141,0.01,4642.031,2355.424,-57.271,-4.13
Africa,2019,,1348005687,,78.396,0.058,1479.412,92.758,6.689,2826.805,-38.507,-1.344,2.1,0.462,0.497,1.099,0.242,0.26,462.815,0.344,1404.681,1.043,0.23,1776.578,46947.613,160109.328,19760.195,3464.959,5743.816,154526.75,16202.065,,4225.526,,60.451,0.045,316.623,0.235,1.831,3.463,1347.407,1.001,1563.945,1.16,452.725,0.336,561.126,0.417,,,5610.236,4.83,3.987,6.913,3.149,4.244,2.819,6.493,2.548,19.064,2.405,19.188,2.785,,13.888,4.148,35.582,4.521,,9.1,0.059,0.073,0.143,0.01,4668.679,2467.608,-74.731,-5.051
Africa,2020,,1380821355,,76.459,0.055,1355.782,-123.629,-8.357,2568.785,-258.019,-9.128,1.863,0.43,0.475,0.983,0.227,0.25,433.638,0.314,1318.767,0.956,0.221,1853.037,48303.398,162678.109,20193.832,3519.728,6040.077,155739.766,16696.721,,3908.335,,54.769,0.04,296.261,0.215,1.668,3.234,1213.014,0.88,1548.806,1.122,471.943,0.342,494.656,0.359,,,5317.983,4.667,3.86,6.661,3.039,4.26,2.841,6.496,2.557,18.947,2.452,19.257,2.817,,13.656,3.916,35.272,4.513,,9.098,0.06,0.075,0.145,0.01,4465.167,2303.511,-37.016,-2.73
Africa,2021,,1413753270,,84.853,0.06,1441.534,85.752,6.325,2691.579,122.794,4.78,1.906,0.427,0.478,1.021,0.229,0.256,424.493,0.301,1397.284,0.99,0.222,1937.89,49744.934,165369.688,20618.326,3576.451,6362.838,156989.812,17249.426,,4136.617,,56.723,0.04,322.761,0.229,1.703,3.257,1250.056,0.885,1567.865,1.109,475.143,0.336,552.703,0.391,,,5765.107,5.002,3.897,6.639,2.805,4.288,2.863,6.498,2.562,18.841,2.502,19.326,2.855,,13.991,4.074,35.185,4.793,,9.097,0.061,0.076,0.147,0.011,4604.309,2407.912,-44.25,-3.07
Africa,2022,,1446883817,,83.513,0.058,1432.503,-9.031,-0.626,2719.051,27.472,1.021,1.882,0.417,0.786,0.991,0.22,0.414,404.326,0.28,1367.002,0.946,0.21,2021.404,51177.434,168088.75,21022.652,3631.206,6682.841,158276.375,17819.33,,4079.04,,54.754,0.038,320.003,0.221,1.661,3.217,1286.559,0.89,1585.524,1.096,486.345,0.336,569.906,0.394,,,5819.716,5.216,3.841,6.659,2.662,4.32,2.884,6.5,2.563,18.732,2.549,19.4,2.892,,13.586,4.054,36.333,4.785,,9.099,0.062,0.077,0.15,0.011,4654.375,2403.505,-65.501,-4.572
Africa,2023,,1480770740,,85.007,0.057,1418.739,-13.764,-0.961,2706.593,-12.458,-0.458,1.83,,0.792,0.959,,0.415,400.078,0.271,,,,2106.411,52596.176,170795.328,21422.73,3687.031,6995.471,159564.234,18384.529,,3969.284,,55.826,0.038,312.63,0.211,1.609,3.148,1287.865,0.871,1592.223,1.075,496.003,0.335,565.198,0.382,,,5797.068,5.417,3.754,6.535,2.598,4.355,2.902,6.501,2.564,18.625,2.59,19.471,2.926,,13.585,3.957,35.528,4.629,,9.096,0.063,0.078,0.152,0.011,4661.945,2381.924,,
